id,Predicted Breed
266490a2b053a4a3bf68e779f28fb5a9,pomeranian
dae9fd18836d8df20989ef0101771d4b,tibetan_terrier
079a40f22b0fad9a66f76797b62bb930,gordon_setter
ab8462f9a501d362041d47582fddc9ad,norwegian_elkhound
8895089b432e020cc42e6262b5a1c2dd,norwegian_elkhound
985ae7fc271ac4a0d131e546c0f95bb6,norwegian_elkhound
77c1ab99cffb817d54fb14f229aeb118,norwegian_elkhound
ad7e50abca9b7c6a88b63946c5bbe493,norwegian_elkhound
d61a09cecf56666cdb315ebce4b93c43,tibetan_mastiff
cb120c57904e8c0694bbe259c58a873c,pomeranian
10863e6d9d1cb526cc9d90f30a585719,norwegian_elkhound
43cb5f3a505d710bd16e0a0d583a781b,cardigan
a5aa4e972242a61829ad10b220a12c64,norwegian_elkhound
abca35eb197f260e4e348156818bf930,norwegian_elkhound
28950f53443e40e5a704a8cb5a1e1d35,norwegian_elkhound
326e3c2a0a47f79ad1a87ca5c2f84d79,norwegian_elkhound
727fb62505f8fc165a40f755c94e36dd,pomeranian
bccec86223be760e4a9c7899d0628812,norwegian_elkhound
42feb15909b1a7da5d85bc1a2baafe47,norwegian_elkhound
b8da90f454f62fb33c83715a404aca3b,pomeranian
d38cfa7f70adf71a5c7281f64218034d,pomeranian
b8a3047509bdd743df820c7a6cd7dd87,gordon_setter
291c193c35def70cb8b9e4371b1f9b3c,norwegian_elkhound
fc50b817f059dbfff5fa1857d7769cc2,norwegian_elkhound
a6faea5f33b025272df4f3d8dde780d7,tibetan_mastiff
32d1d7ac227098b3f964705d5f651236,norwegian_elkhound
078a52db2d156257696c771487a6a316,norwegian_elkhound
88158ff4e3b161ad6027af39d0ce46ea,tibetan_mastiff
e22db0abd7c039726b9683fc0a372204,cardigan
0cd23332299c3aff0eaff055e00f55b4,shih-tzu
722f83aa7a932ed3d8b3f7dade17a456,norwegian_elkhound
5f305def7fd430e7424bb0905d2e461e,norwegian_elkhound
da383e0970244d4308a9335b3ae1d8da,borzoi
f717e4f0cce4ff0e658f9f58e59118a7,norwegian_elkhound
c33b8c8cf90afb9952dbfd74ad7f9c0c,norwegian_elkhound
582d48c3f5cdaffcc738f8f047286d97,french_bulldog
a7054ea92a0a6938746a9050f370d8c0,french_bulldog
2e8fa3240b9dc79a7e847fe65e388c23,norwegian_elkhound
1bff026e041df7da298b1518d598f52e,norwegian_elkhound
e4ec1e1a3e21d31f6e058c04655cb38b,norwegian_elkhound
dca9642123204fd3df080147b05e4af3,norwegian_elkhound
5c4503ac01840e7a9307b5e33acae248,borzoi
14831db5108c3b9c056efe04329a3916,tibetan_mastiff
b97c65ed477941beb476a370e426f18b,irish_terrier
a1cb6364a59b4820943d1b4ff58800ec,pomeranian
